n, total_elements, repetitions, total time, average time112,12544,50,0.001839,0.000036778
128,16384,50,0.002661,0.000053220
160,25600,50,0.003676,0.000073519
170,28900,50,0.004403,0.000088062
180,32400,50,0.004628,0.000092559
190,36100,50,0.005107,0.000102143
224,50176,20,0.002846,0.000142300
240,57600,20,0.003472,0.000173593
250,62500,20,0.003576,0.000178802
256,65536,20,0.004961,0.000248051
512,262144,10,0.012904,0.001290393
520,270400,10,0.009154,0.000915384
530,280900,10,0.009586,0.000958610
540,291600,10,0.010049,0.001004887
560,313600,10,0.011027,0.001102710
1350,1822500,5,0.045697,0.009139395
1400,1960000,5,0.045098,0.009019566
1420,2016400,5,0.057771,0.011554193
1430,2044900,5,0.050808,0.010161591
1440,2073600,5,0.053444,0.010688782
1450,2102500,5,0.058447,0.011689377
1500,2250000,5,0.066787,0.013357401
3000,9000000,5,0.314805,0.062961006
4000,16000000,5,0.556852,0.111370420
