LoadScale,Threads,BaseTime(s),ElapsedTime(s),Efficiency
1,1,0.167900,0.167900,1.000000
1,2,0.167900,0.078158,1.074106
1,4,0.167900,0.055182,0.760665
1,8,0.167900,0.035496,0.591264
1,16,0.167900,0.024081,0.435769
1,32,0.167900,0.028594,0.183496
1,64,0.167900,0.029641,0.088507
2,1,0.310526,0.310526,1.000000
2,2,0.310526,0.159095,0.975914
2,4,0.310526,0.091660,0.846951
2,8,0.310526,0.073917,0.525126
2,16,0.310526,0.070394,0.275704
2,32,0.310526,0.059565,0.162913
2,64,0.310526,0.057318,0.084650
4,1,0.625750,0.625750,1.000000
4,2,0.625750,0.386308,0.809911
4,4,0.625750,0.191429,0.817209
4,8,0.625750,0.141108,0.554318
4,16,0.625750,0.101520,0.385238
4,32,0.625750,0.099904,0.195735
4,64,0.625750,0.103021,0.094906
8,1,1.257166,1.257166,1.000000
8,2,1.257166,0.684301,0.918577
8,4,1.257166,0.378110,0.831217
8,8,1.257166,0.268822,0.584572
8,16,1.257166,0.199871,0.393118
8,32,1.257166,0.203119,0.193416
8,64,1.257166,0.192326,0.102135
16,1,2.543897,2.543897,1.000000
16,2,2.543897,1.425216,0.892460
16,4,2.543897,0.848028,0.749945
16,8,2.543897,0.540766,0.588031
16,16,2.543897,0.431657,0.368333
16,32,2.543897,0.408634,0.194543
16,64,2.543897,0.417724,0.095155
32,1,5.103038,5.103038,1.000000
32,2,5.103038,0.081292,31.387083
32,4,5.103038,1.603524,0.795597
32,8,5.103038,1.012932,0.629736
32,16,5.103038,0.833639,0.382587
32,32,5.103038,0.790755,0.201668
32,64,5.103038,0.799560,0.099724
64,1,9.903011,9.903011,1.000000
64,2,9.903011,5.239501,0.945034
64,4,9.903011,2.957867,0.837006
64,8,9.903011,1.900893,0.651208
64,16,9.903011,1.502506,0.411937
64,32,9.903011,1.512370,0.204625
64,64,9.903011,1.589135,0.097370
