Iteration,PI_Approximation,Error,Time(s)
1,4.000000000000000,0.858407346410207,0.000000500
2,2.666666666666667,0.474925986923126,0.000048100
3,3.466666666666667,0.325074013076874,0.000053900
4,2.895238095238096,0.246354558351698,0.000058200
5,3.339682539682540,0.198089886092747,0.000062200
6,2.976046176046176,0.165546477543617,0.000065800
7,3.283738483738484,0.142145830148691,0.000069500
8,3.017071817071818,0.124520836517975,0.000073000
9,3.252365934718877,0.110773281129084,0.000077000
10,3.041839618929403,0.099753034660390,0.000080900
11,3.232315809405594,0.090723155815801,0.000085000
12,3.058402765927333,0.083189887662460,0.000088800
13,3.218402765927333,0.076810112337540,0.000092500
14,3.070254617779185,0.071338035810608,0.000096400
15,3.208185652261944,0.066592998672151,0.000100100
16,3.079153394197428,0.062439259392365,0.000103900
17,3.200365515409549,0.058772861819756,0.000107700
18,3.086079801123835,0.055512852465958,0.000111500
19,3.194187909231943,0.052595255642149,0.000115200
20,3.091623806667840,0.049968846921953,0.000119000
21,3.189184782277596,0.047592128687803,0.000122800
22,3.096161526463642,0.045431127126151,0.000126600
23,3.185050415352531,0.043457761762738,0.000130400
24,3.099944032373808,0.041648621215985,0.000134100
25,3.181576685435032,0.039984031845239,0.000137800
26,3.103145312886013,0.038447340703780,0.000141400
27,3.178617010999220,0.037024357409427,0.000145000
28,3.105889738271947,0.035702915317846,0.000148700
29,3.176065176868438,0.034472523278645,0.000152400
30,3.108268566698947,0.033324086890846,0.000156000
31,3.173842337190750,0.032249683600957,0.000159700
32,3.110350273698687,0.031242379891106,0.000163300
33,3.171888735237149,0.030296081647355,0.000166900
34,3.112187242699835,0.029405410889958,0.000170600
35,3.170158257192588,0.028565603602795,0.000174200
36,3.113820229023574,0.027772424566219,0.000177800
37,3.168614749571519,0.027022095981726,0.000181500
38,3.115281416238186,0.026311237351607,0.000185000
39,3.167229468186238,0.025636814596445,0.000188800
40,3.116596556793833,0.024996096795960,0.000192500
41,3.165979272843216,0.024386619253423,0.000196100
42,3.117786501758878,0.023806151830915,0.000199900
43,3.164845325288290,0.023252671698497,0.000203500
44,3.118868313794037,0.022724339795756,0.000207200
45,3.163812134018756,0.022219480428963,0.000210900
46,3.119856090062712,0.021736563527081,0.000214600
47,3.162866842750884,0.021274189161091,0.000218300
48,3.120761579592989,0.020831073996804,0.000221900
49,3.161998692995051,0.020406039405258,0.000225600
50,3.121594652591011,0.019998000998782,0.000229300
51,3.161198612987051,0.019605959397258,0.000232900
52,3.122363661530740,0.019228992059053,0.000236600
53,3.160458899625978,0.018866246036185,0.000240400
54,3.123075722055884,0.018516931533909,0.000244100
55,3.159772969762306,0.018180316172513,0.000247800
56,3.123736933726270,0.017855719863523,0.000251500
57,3.159135163814766,0.017542510224973,0.000255100
58,3.124352555119114,0.017240098470679,0.000258800
59,3.158540589307148,0.016947935717355,0.000262500
60,3.124927143928997,0.016665509660796,0.000266200
61,3.157984995168666,0.016392341578873,0.000270000
62,3.125464669965414,0.016127983624379,0.000273600
63,3.157464669965414,0.015872016375621,0.000277200
64,3.125968606973288,0.015624046616505,0.000280800
65,3.156976358911272,0.015383705321479,0.000284400
66,3.126442007766234,0.015150645823559,0.000288100
67,3.156517195736159,0.014924542146366,0.000291800
68,3.126887566106529,0.014705087483264,0.000295400
69,3.156084646398500,0.014491992808707,0.000299100
70,3.127307667981234,0.014284985608559,0.000302900
71,3.155676462307475,0.014083808717682,0.000306400
72,3.127704434335447,0.013888219254346,0.000310200
73,3.155290641231999,0.013697987642206,0.000313900
74,3.128079756878257,0.013512896711536,0.000317600
75,3.154925394462150,0.013332740872357,0.000321200
76,3.128435328236984,0.013157325352809,0.000324900
77,3.154579119086657,0.012986465496864,0.000328500
78,3.128772667473754,0.012819986116039,0.000332100
79,3.154250374480124,0.012657720890330,0.000335700
80,3.129093141775721,0.012499511814072,0.000339500
81,3.153937862272616,0.012345208682822,0.000478600
82,3.129397984972002,0.012194668617791,0.000485000
83,3.153640409214427,0.012047755624633,0.000489000
84,3.129688313406043,0.011904340183750,0.000492800
85,3.153356952459298,0.011764298869505,0.000496400
86,3.129965139593801,0.011627513995992,0.000500200
87,3.153086526877038,0.011493873287245,0.000503900
88,3.130229384019895,0.011363269569898,0.000507600
89,3.152828254076392,0.011235600486599,0.000511200
90,3.130481885361308,0.011110768228485,0.000514900
91,3.152581332875120,0.010988679285327,0.000518500
92,3.130723409377853,0.010869244211940,0.000522200
93,3.152345030999474,0.010752377409681,0.000526000
94,3.130954656667924,0.010637996921870,0.000529600
95,3.152118677831945,0.010526024242152,0.000533300
96,3.131176269454982,0.010416384134811,0.000537000
97,3.151901658056018,0.010309004466225,0.000540700
98,3.131388837543198,0.010203816046595,0.000544400
99,3.151693406071117,0.010100752481323,0.000548000
100,3.131592903558554,0.009999750031239,0.000551700
100000,3.141582653589720,0.000010000000073,0.002885400
200000,3.141587653589762,0.000005000000031,0.005239600
300000,3.141589320256464,0.000003333333329,0.007668100
400000,3.141590153589744,0.000002500000049,0.009921700
500000,3.141590653589692,0.000002000000101,0.012220100
600000,3.141590986923015,0.000001666666778,0.014424700
700000,3.141591225018261,0.000001428571532,0.016893900
800000,3.141591403589717,0.000001250000076,0.019189300
900000,3.141591542478651,0.000001111111142,0.021472300
1000000,3.141591653589774,0.000001000000019,0.023710300
1100000,3.141591744498832,0.000000909090961,0.026077400
1200000,3.141591820256489,0.000000833333305,0.027618000
1300000,3.141591884359081,0.000000769230712,0.029087300
1400000,3.141591939304102,0.000000714285691,0.030555100
